21,150
21,700
21,600
22,150
22,500
22,900
23,300
23,700
24,150
23,850
25,450
24,450
24,300
24,550
25,100
25,150
25,450
24,850
25,400
23,650
23,750
24,300
23,950
23,850
25,100
25,150
25,300
25,900
23,950
23,150
23,300
24,200
23,850
23,300
24,350
24,400
25,300
25,300
26,550
26,250
26,500
27,600
27,400
28,100
27,500
27,000
27,600
29,300
28,200
26,200
25,600
25,750
24,800
22,200
21,100
23,100
25,700
25,000
24,600
25,850
26,350
25,150
24,700
19,690
19,710
19,480
20,350
18,800
19,100
19,190
18,810
19,060
19,340
18,360
17,850
18,850
18,570
18,700
19,410
19,250
20,150
19,520
19,780
19,620
20,000
19,610
19,980
20,850
20,400
20,500
20,550
20,200
19,300
19,080
18,960
19,260
19,740
19,950
19,510
20,050
