82,500
86,100
87,800
88,700
82,800
85,000
82,600
85,800
79,000
79,400
78,900
76,800
75,800
76,600
76,500
81,700
86,500
88,600
78,000
73,000
76,100
69,400
63,500
65,900
68,300
71,200
63,700
68,700
59,600
62,600
61,900
64,900
63,500
69,800
68,900
73,100
78,900
82,900
85,200
88,500
89,400
91,500
89,600
88,600
87,600
88,700
89,700
91,700
87,400
83,000
86,000
86,100
91,100
91,200
89,500
95,100
103,500
99,500
98,600
101,800
108,500
109,000
101,800
100,700
101,400
101,500
100,000
98,600
100,900
101,600
109,300
113,300
107,600
108,400
108,200
108,000
123,200
124,800
114,900
109,000
114,300
107,000
109,200
106,800
108,200
112,100
115,500
115,500
98,700
103,000
95,900
87,400
82,100
83,000
82,000
86,100
88,500
80,600
85,100
82,200
86,500
84,500
84,600
83,600
82,700
70,600
70,500
70,000
73,700
75,300
72,900
72,700
75,000
76,300
76,000
80,700
84,200
84,000
82,000
81,000
83,100
80,600
81,400
80,700
82,100
84,700
86,200
92,500
93,500
94,300
97,500
94,700
93,000
89,800
94,800
94,900
95,000
97,800
98,500
99,300
98,800
103,400
104,900
113,600
113,000
107,400
116,000
110,200
112,200
109,500
110,600
109,000
107,900
105,400
111,000
114,200
113,600
109,200
102,000
99,300
99,500
97,900
101,300
102,400
96,000
99,100
93,100
99,400
102,100
100,000
111,100
114,100
112,300
114,000
116,000
113,200
120,200
117,400
125,600
123,000
128,900
128,000
123,700
119,300
117,100
109,100
110,900
103,100
106,400
107,500
112,500
119,100
137,400
127,500
135,200
138,900
135,700
138,000
142,600
150,400
149,900
153,800
149,500
168,000
159,600
161,300
157,000
164,600
164,700
165,200
166,200
159,000
171,600
167,100
170,900
171,500
173,700
176,500
175,500
167,300
178,200
175,500
177,400
181,200
182,200
179,200
190,200
175,900
159,300
161,900
159,700
155,800
151,900
147,200
158,100
163,600
166,900
166,400
157,100
151,000
146,600
152,000
139,600
142,700
140,000
144,200
147,900
140,100
140,200
141,600
140,100
136,000
134,500
135,500
132,100
136,800
139,800
141,900
139,000
137,100
132,000
132,100
139,200
135,500
142,500
143,000
144,900
149,700
134,900
132,000
137,900
131,400
148,600
141,300
145,000
134,100
134,400
115,400
110,300
99,000
95,700
94,700
95,100
94,200
96,500
97,000
97,000
99,000
102,000
97,700
94,700
102,600
101,400
94,300
96,000
87,900
87,700
82,100
76,700
74,000
79,100
75,700
72,700
75,600
74,800
75,500
80,100
79,400
82,200
61,200
60,500
59,500
59,800
58,200
58,200
58,800
60,200
58,600
57,600
59,900
58,500
57,700
59,000
58,100
52,400
53,300
55,900
57,200
58,800
58,600
58,700
59,900
58,400
58,900
59,300
59,500
61,700
61,700
58,400
58,500
60,100
58,300
59,100
58,800
58,800
59,400
59,400
58,900
59,500
60,600
60,400
57,200
58,400
59,500
61,000
62,500
61,700
61,200
60,300
60,400
59,700
61,700
60,200
62,800
62,800
62,900
61,700
61,700
58,300
61,100
61,400
61,100
63,100
58,100
57,700
58,300
55,300
53,000
57,400
56,500
59,000
56,000
59,000
56,200
58,400
58,400
57,300
57,100
58,900
56,400
55,200
52,900
51,200
53,700
53,600
56,100
51,600
50,000
50,300
50,000
