가가,종가
"57,700","57,700"
"59,000","57,700"
"58,100","57,700"
"52,400","56,200"
"53,300","52,400"
"55,900","52,700"
"57,200","56,200"
"58,800","57,100"
"58,600","59,000"
"58,700","58,400"
"59,900","58,700"
"58,400","58,100"
"58,900","58,800"
"59,300","59,000"
"59,500","59,500"
"61,700","60,800"
"61,700","61,700"
"58,400","61,500"
"58,500","57,600"
"60,100","58,600"
"58,300","59,200"
"59,100","58,700"
"58,800","58,900"
"58,800","58,300"
"59,400","58,300"
"59,400","59,200"
"58,900","58,600"
"59,500","58,900"
"60,600","58,900"
"60,400","60,300"
"57,200","58,900"
"58,400","57,900"
"59,500","57,800"
"61,000","59,800"
"62,500","62,000"
"61,700","63,600"
"61,200","61,100"
"60,300","61,600"
"60,400","59,700"
"59,700","60,800"
"61,700","59,700"
"60,200","61,700"
"62,800","61,500"
"62,800","62,000"
"62,900","62,800"
"61,700","62,400"
"61,700","62,300"
"58,300","59,500"
"61,100","57,800"
"61,400","66,300"
"61,100","61,500"
"63,100","60,800"
"58,100","62,600"
"57,700","58,500"
"58,300","56,500"
"55,300","57,400"
"53,000","52,700"
"57,400","52,500"
"56,500","57,000"
"59,000","57,200"
"56,000","58,100"
"59,000","59,500"
"56,200","58,600"
"58,400","55,400"
"58,400","58,500"
"57,300","58,700"
"57,100","58,500"
"58,900","58,900"
"56,400","58,400"
"55,200","57,300"
"52,900","55,700"
"51,200","51,500"
"53,700","49,750"
"53,600","53,100"
"56,100","53,100"
"51,600","54,200"
"50,000","52,700"
"50,300","50,400"
"50,000","49,800"
"47,500","49,800"
"48,450","48,450"
"49,300","49,700"
"50,800","49,550"
"52,200","50,300"
"54,500","54,100"
"54,900","53,800"
"53,500","53,100"
"53,500","52,800"
"53,400","53,300"
"57,000","54,200"
"56,600","57,300"
"58,800","57,500"
"58,000","58,800"
"60,000","58,200"
"58,500","58,500"
"57,100","59,800"
"57,200","57,100"
"55,400","55,300"
"54,600","55,000"
"54,400","54,400"
"60,600","55,500"
"54,800","57,000"
"62,200","55,800"
"58,800","59,700"
"47,900","57,800"
"47,200","48,750"
"46,600","48,150"
"46,500","45,600"
"48,200","47,850"
"45,100","46,800"
"47,100","46,750"
"49,350","47,700"
"46,600","47,200"
"49,000","46,950"
"48,850","49,300"
"51,500","49,250"
"49,150","53,400"
"47,900","48,500"
"46,400","47,150"
"43,500","45,900"
"47,600","43,800"
"46,950","46,300"
"43,250","47,200"
"43,700","45,000"
"43,800","45,950"
"48,700","43,500"
"48,750","49,550"
"45,000","49,500"
"43,250","46,800"
"32,650","41,200"
"30,500","31,700"
"29,050","30,500"
"29,350","28,900"
"29,250","29,350"
"30,700","29,250"
"31,550","30,750"
"31,400","31,500"
"30,400","31,200"
"30,250","30,150"
"29,050","30,200"
"30,450","29,800"
"30,150","30,100"
"30,000","30,650"
"29,350","30,350"
"28,600","29,050"
"30,600","29,200"
"29,000","30,900"
"29,600","29,300"
"28,700","29,100"
"27,000","29,150"
"26,850","26,350"
"27,350","26,600"
"26,900","26,500"
"25,900","26,600"
"24,650","25,650"
"25,150","25,000"
"25,400","25,150"
"27,050","25,700"
"26,050","26,350"
"27,200","26,550"
"28,300","27,200"
"28,150","27,150"
"28,650","27,300"
"26,050","26,550"
"26,350","26,600"
"25,950","26,150"
"21,900","25,950"
"20,600","21,350"
"19,730","20,250"
"20,300","19,810"
"20,250","19,600"
"20,350","20,350"
"21,100","20,450"
"21,050","21,000"
"21,550","21,450"
"22,100","21,500"
"22,650","21,700"
"20,850","23,200"
"20,550","21,350"
"21,700","20,550"
"21,500","21,500"
